PLAYER.NAME	YEAR	PCT.FAIRWAYS.HIT	AVG.DRIVE.DISTANCE	PCT.GREENS.IN.REGULATION	GREENS.HIT.RELATIVE.TO.PAR	EVENTS	MONEY	PCT.ONE.PUTTS	PCT.SAND.SAVES	TOTAL.OU.PAR	ADJ_MONEY_2019
Brian Gay	2003	65.9	278.1	62.49	-0.27	34	447647	42.04	50.6	71	622120.637455493
Brian Gay	2004	64.83	279.7	61.52	-0.29	32	645194	42.79	52.17	57	873283.144562781
Brian Gay	2005	67.22	275.4	62.29	-0.26	33	689862	42.2	55.9	60	903102.215198635
Brian Gay	2006	68.64	274.8	63.19	-0.3	31	1037600	43.15	61.59	40	1315878.47811169
Brian Gay	2007	72.9	270	62.94	-0.27	32	1114571	40.45	55.29	60	1374288.71107295
Brian Gay	2008	71.74	270.5	63.71	-0.28	31	2205513	39.76	56.71	69	2618900.18000139
Brian Gay	2009	72.24	268.5	62.44	-0.28	27	3201295	41.38	57.79	67	3814888.85221625
Brian Gay	2010	74	266.4	63.44	-0.27	30	1521663	43.93	59.26	54	1784061.54220944
Brian Gay	2011	72.77	269.8	63.44	-0.26	26	1157525	40.19	63.4	49	1315599.48235078
Brian Gay	2012	62.1	277.7	62.71	-0.26	28	960658	41.76	62.32	43	1069711.89021849
Brian Gay	2013	64.79	275.1	56.68	-0.27	24	1426017	45.71	59.09	37	1564974.18806146
Brian Gay	2014	61.99	271.6	59.21	-0.24	26	605368	44.09	59.18	56	653752.323490919
Brian Gay	2016	NA	NA	NA	NA	13	280619	NA	NA	NA	298917.44319128
Brian Gay	2017	65.47	278.7	63.53	-0.27	25	942372	42.02	54.17	50	982885.119918679
Brian Gay	2018	71.37	282.9	64.52	-0.3	30	2152501	43.4	53.1	55	2191508.83999208
Brian Gay	2019	70.19	274.9	64.36	-0.27	28	1029440	40.64	48.25	59	1029440
Brian Gay	2020	58.68	288.5	64.81	-0.3	23	702647	40.92	38.53	58	690140.209588417
Brian Harman	2012	65.44	290.3	63.92	-0.28	30	1146448	40.81	50	65	1276592.76986941
Brian Harman	2013	60.64	287.5	62.61	-0.26	29	909759	40.33	45.14	55	998409.803218762
Brian Harman	2014	60.96	289	64.26	-0.28	32	2414334	39.89	51.81	47	2607300.78594033
Brian Harman	2015	64.37	287.9	66.67	-0.27	29	1548352	39.38	55.8	45	1670123.54561347
Brian Harman	2016	63.41	289.7	64.85	-0.28	31	1299801	41.61	55.26	58	1384557.67990574
Brian Harman	2017	62.8	289.9	63.78	-0.29	30	4396470	42.22	58.7	44	4585476.80021146
Brian Harman	2018	67.14	291.9	67.59	-0.26	25	2733463	38.95	47.22	42	2782999.09188951
Brian Harman	2019	68.17	288.4	64.17	-0.28	29	1342778	39.64	58.45	29	1342778
Brian Harman	2020	63.28	293	65.67	-0.31	22	1482583	42.95	60.98	29	1456193.71085655
Brian Henninger	1993	68.9	264	64.59	-0.23	30	112811	35.83	55.1	49	199649.048733199
Brian Henninger	1994	66.84	268.5	61.84	-0.27	21	294075	40.18	58.14	39	507218.450371058
Brian Henninger	1995	69.93	265.5	64.06	-0.23	28	166730	34.95	46.99	81	279727.186355682
Brian Henninger	1996	66.61	273.9	65.61	-0.23	28	135680	34.39	52.94	37	221151.407671873
Brian Henninger	1997	66.23	276.3	66.09	-0.28	25	329864	39.18	60.54	43	525379.574860347
Brian Henninger	1998	64.56	274.9	64.5	-0.27	29	256714	41.29	55.11	54	402622.594318286
Brian Henninger	1999	69.01	272	64	-0.26	29	774486	40.74	58.58	53	1188672.30979739
Brian Henninger	2000	69.63	272.1	65.86	-0.28	29	527741	39.58	55.17	40	783512.780075977
Brian Henninger	2001	68.81	277.1	63.57	-0.25	29	160814	38.54	53.69	54	232191.030518637
Brian Henninger	2002	66.16	278.3	65.57	-0.26	20	281614	38.13	51.06	20	400259.667753533
Brian Henninger	2003	63.8	285.3	62.6	-0.26	17	166003	40.87	49.48	30	230703.863042809
Brian Henninger	2004	NA	NA	NA	NA	9	6240	NA	NA	NA	8445.96636371658
Brian Henninger	2005	NA	NA	NA	NA	2	7236	NA	NA	NA	9472.688203115
Brian Henninger	2006	NA	NA	NA	NA	12	96453	NA	NA	NA	122321.15155099
Brian Hull	1999	NA	NA	NA	NA	1	5033	NA	NA	NA	7724.59119365651
Brian Kamm	1991	61.71	265.8	65.17	NA	27	81932	NA	55.46	3	153801.799882519
Brian Kamm	1992	NA	NA	NA	NA	4	20020	NA	NA	NA	36476.5042047749
Brian Kamm	1993	66.36	264.8	66.09	-0.25	27	183185	38.69	58.68	41	324194.546561869
Brian Kamm	1994	67.94	264.7	65.43	-0.23	32	181884	37.71	61.43	36	313712.218404453
Brian Kamm	1995	67.62	266.6	63.02	-0.28	30	165235	39.69	48.2	62	277218.986609975
Brian Kamm	1996	62.32	263	61.43	-0.22	31	64988	37.48	50	67	105927.090815004
Brian Kamm	1998	65.3	268.5	62.54	-0.23	28	87326	38.02	49.18	36	136959.49839681
Brian Kortan	2004	63.01	292.4	62.01	-0.2	24	159939	38.26	52.13	24	216480.675360011
Brian Rowell	1997	NA	NA	NA	NA	2	36250	NA	NA	NA	57735.9444761707
Brian Stuard	2010	63.09	286.9	65.04	-0.24	28	536497	35.6	45.6	62	629011.5914041
Brian Stuard	2013	65.99	281.8	65.77	-0.25	25	1032028	37.99	50	54	1132593.21688079
Brian Stuard	2014	66.14	283.4	63.86	-0.28	29	1852531	40.87	51.05	52	2000595.4156628
Brian Stuard	2015	69.31	276.5	63.2	-0.26	31	687109	40.92	50.7	53	741147.309722158
Brian Stuard	2016	71.07	277.7	63.3	-0.24	20	1666014	40.4	54.35	34	1774650.48767502
Brian Stuard	2017	71.32	272.6	63.35	-0.25	31	588806	39.66	46.43	68	614119.112111605
Brian Stuard	2018	71.44	278.9	67.12	-0.25	32	1089763	38.83	48.03	67	1109511.79488246
Brian Stuard	2019	71.09	276.6	64.89	-0.27	29	1320637	41.84	52.9	53	1320637
Brian Stuard	2020	71.84	281.5	65.09	-0.28	25	1002095	40.95	50	46	984258.174200566
Brian Tennyson	1991	69.94	255.6	63.13	NA	32	110302	NA	50	14	207057.634753717
Brian Tennyson	1992	NA	NA	NA	NA	17	38614	NA	NA	NA	70354.8318363226
Brian Tennyson	1996	67.18	263.6	63.63	-0.29	22	96329	40.81	51.4	41	157011.305642865
Brian Vranesh	2009	63.51	288.2	63.83	-0.22	20	198567	35.84	46.58	31	236626.438587516
Brian Watts	1991	62.47	255.7	63.57	NA	29	40199	NA	57.35	9	75461.0964394542
Brian Watts	1992	NA	NA	NA	NA	1	663	NA	NA	NA	1207.98812626203
Brian Watts	1993	NA	NA	NA	NA	3	23235	NA	NA	NA	41120.5081713297
Brian Watts	1995	NA	NA	NA	NA	3	33725	NA	NA	NA	56581.2952668708
Brian Watts	1996	NA	NA	NA	NA	2	6000	NA	NA	NA	9779.69078737647
Brian Watts	1997	NA	NA	NA	NA	3	15400	NA	NA	NA	24527.821929187
Brian Watts	1998	NA	NA	NA	NA	4	335735	NA	NA	NA	526556.777984254
Brian Watts	1999	74.41	267.4	68.42	-0.26	24	767409	37.76	60.93	40	1177810.61063635
Brian Watts	2000	67.38	270.4	66.22	-0.23	29	311802	38.19	58	56	462918.08264518
Brian Watts	2001	67.69	281.8	65.67	-0.28	16	457293	40.38	57	28	660261.749094974
Brian Watts	2002	64.45	272.8	61.21	-0.23	21	162704	40.43	60.75	23	231252.171348622
Brian Watts	2003	NA	NA	NA	NA	13	134905	NA	NA	NA	187485.19390487
